gameweek,player_id,player_name,team_id,position_id,overall_team_strength,team_position_relevant_strength,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xx,season_points,season_bps,season_influence,season_creativity,season_threat,season_xx,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
6,691,Norberto Bercique Gomes Betuncal,9,4,1100,1125,16,2,4,Brentford,4,15,16.6,29.0,25.0,0.28,4,15,16.6,29.0,25.0,0.28,4.2,1.95,62,2,0
6,693,Luke Thomas,17,2,1030,1020,15,1,15,Newcastle,2,11,24.0,0.7,33.0,0.5299999999999998,2,11,24.0,0.7,33.0,0.5299999999999998,7.0,1.67,90,-2,0
6,703,Jonny Evans,14,2,1220,1230,19,2,6,Burnley,0,4,5.4,0.0,0.0,1.76,0,4,5.4,0.0,0.0,1.76,1.73,1.62,88,12,1
6,706,Mike Trésor,6,3,1045,1050,19,1,14,Man Utd,1,5,0.4,14.5,4.0,0.15,1,5,0.4,14.5,4.0,0.15,4.2,1.62,70,2,0
6,712,Nicolás Domínguez,16,3,1100,1125,14,2,13,Man City,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,15.0,1.4,90,2,0
7,5,Gabriel dos Santos Magalhães,1,2,1365,1360,14,2,3,Bournemouth,8,50,48.599999999999994,8.1,8.0,-0.2599999999999998,10,57,61.8,8.1,8.0,-1.0099999999999998,1.53,1.53,90,6,1
7,6,Kai Havertz,1,3,1365,1370,14,2,3,Bournemouth,3,8,15.399999999999999,14.3,26.0,0.47000000000000003,8,20,30.2,82.0,60.0,1.24,1.53,1.53,80,7,1
7,8,Gabriel Fernando de Jesus,1,4,1365,1370,14,2,3,Bournemouth,9,25,45.6,14.200000000000001,58.0,1.22,10,26,48.6,14.500000000000002,93.0,1.37,1.53,1.53,90,5,1
7,13,Eddie Nketiah,1,4,1365,1370,14,2,3,Bournemouth,5,11,14.2,34.9,39.0,0.31,23,67,73.0,69.70000000000002,136.0,1.8900000000000001,1.53,1.53,68,5,1
7,14,Martin Ødegaard,1,3,1365,1370,14,2,3,Bournemouth,11,37,65.2,73.1,95.0,0.88,26,90,133.6,128.7,160.0,2.25,1.53,1.53,90,17,1
