gameweek,player_id,player_name,team_id,overall_team_strength,team_position_relevant_strength,position_id,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xx,season_points,season_bps,season_influence,season_creativity,season_threat,season_xx,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
28,51,Tyrone Mings,2,1160,1180,2,13,1,18,NULL,0,0,0.0,0.0,0.0,2.5,0,5,3.6,13.0,5.0,1.42,2.3,1.29,-1,-1,-1
28,52,Marvelous Nakamba,12,1090,1060,3,15,2,8,NULL,0,0,0.0,0.0,0.0,0.0,21,131,146.40000000000003,102.8,14.0,0.67,4.33,1.67,-1,-1,-1
28,53,Robin Olsen,2,1160,1180,1,13,1,18,NULL,0,0,0.0,0.0,0.0,2.5,2,12,12.0,0.0,0.0,1.77,2.3,1.29,-1,-1,-1
28,54,Jaden Philogene-Bidace,2,1160,1140,3,13,1,18,NULL,0,0,0.0,0.0,0.0,0.0,1,3,0.4,0.3,2.0,0.0,2.3,1.29,-1,-1,-1
28,55,Jacob Ramsey,2,1160,1140,3,13,1,18,NULL,6,26,22.2,38.3,40.0,1.2799999999999998,29,101,124.00000000000001,159.29999999999998,182.0,3.4699999999999998,2.3,1.29,-1,-1,-1
28,56,Morgan Sanson,2,1160,1140,3,13,1,18,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.3,1.29,-1,-1,-1
28,57,Viljami Sinisalo,2,1160,1180,1,13,1,18,NULL,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,2.3,1.29,-1,-1,-1
28,58,Youri Tielemans,2,1160,1140,3,13,1,18,NULL,5,17,18.2,37.0,17.0,0.27,49,190,214.4,215.50000000000003,95.0,2.47,2.3,1.29,-1,-1,-1
28,59,Bertrand Traoré,2,1160,1140,3,13,1,18,NULL,0,0,0.0,0.0,0.0,0.0,2,6,3.0,0.0,0.0,0.0,2.3,1.29,-1,-1,-1
28,60,Ollie Watkins,2,1160,1140,4,13,1,18,NULL,24,82,116.8,28.9,174.0,2.23,183,621,844.3999999999999,476.9000000000001,1156.0,17.68,2.3,1.29,-1,-1,-1
28,61,Wesley Moraes Ferreira da Silva,2,1160,1140,4,13,1,18,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.3,1.29,-1,-1,-1
28,62,Jaidon Anthony,3,1100,1055,3,15,1,17,NULL,0,0,0.0,0.0,0.0,0.0,3,4,9.0,4.6,16.0,0.09,1.33,1.44,-1,-1,-1
28,63,Philip Billing,3,1100,1055,3,15,1,17,NULL,2,9,9.4,16.1,13.0,0.26,50,190,267.59999999999997,247.00000000000003,217.0,3.8400000000000003,1.33,1.44,-1,-1,-1
28,64,David Brooks,3,1100,1055,3,15,1,17,NULL,0,0,0.0,0.0,0.0,0.0,23,71,88.19999999999999,112.39999999999999,113.0,2.9199999999999995,1.33,1.44,-1,-1,-1
28,65,Ryan Christie,3,1100,1055,3,15,1,17,NULL,10,49,68.6,97.80000000000001,29.0,0.83,57,267,366.19999999999993,437.1000000000001,262.0,4.6899999999999995,1.33,1.44,-1,-1,-1
28,66,Lewis Cook,3,1100,1055,3,15,1,17,NULL,15,56,72.8,90.19999999999999,5.0,0.24000000000000002,51,283,327.6,386.1000000000001,32.0,1.9400000000000004,1.33,1.44,-1,-1,-1
28,67,Siriki Dembélé,3,1100,1055,3,15,1,17,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.33,1.44,-1,-1,-1
28,68,Ryan Fredericks,3,1100,1145,2,15,1,17,NULL,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,1.33,1.44,-1,-1,-1
28,69,James Hill,3,1100,1145,2,15,1,17,NULL,0,0,0.0,0.0,0.0,2.5,2,11,22.2,2.2,0.0,1.35,1.33,1.44,-1,-1,-1
28,70,Lloyd Kelly,3,1100,1145,2,15,1,17,NULL,0,0,0.0,0.0,0.0,2.5,25,172,159.60000000000002,78.3,29.0,-14.130000000000003,1.33,1.44,-1,-1,-1
28,71,Gavin Kilkenny,3,1100,1055,3,15,1,17,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.33,1.44,-1,-1,-1
28,72,Justin Kluivert,3,1100,1055,3,15,1,17,NULL,11,37,47.8,24.199999999999996,65.0,0.7700000000000001,58,142,211.8,212.20000000000005,314.0,3.85,1.33,1.44,-1,-1,-1
28,73,Jamal Lowe,3,1100,1055,3,15,1,17,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.33,1.44,-1,-1,-1
28,74,Emiliano Marcondes,3,1100,1055,3,15,1,17,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.33,1.44,-1,-1,-1
28,75,Chris Mepham,3,1100,1145,2,15,1,17,NULL,6,33,32.8,5.0,2.0,0.040000000000000036,10,59,64.60000000000001,13.1,23.0,-3.3499999999999996,1.33,1.44,-1,-1,-1
28,76,Kieffer Moore,3,1100,1055,4,15,1,17,NULL,0,0,0.0,0.0,0.0,0.0,14,38,37.4,27.900000000000002,81.0,1.77,1.33,1.44,-1,-1,-1
28,77,Norberto Murara Neto,3,1100,1145,1,15,1,17,NULL,14,74,133.39999999999998,0.0,0.0,-1.9399999999999995,90,465,671.5999999999999,0.0,0.0,-36.63999999999999,1.33,1.44,-1,-1,-1
28,78,Dango Ouattara,3,1100,1055,3,15,1,17,NULL,14,47,68.6,52.400000000000006,71.0,0.9,21,85,119.4,116.39999999999999,142.0,1.79,1.33,1.44,-1,-1,-1
28,79,Ben Pearson,3,1100,1055,3,15,1,17,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.33,1.44,-1,-1,-1
28,80,Darren Randolph,3,1100,1145,1,15,1,17,NULL,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,1.33,1.44,-1,-1,-1
28,81,Joe Rothwell,3,1100,1055,3,15,1,17,NULL,0,0,0.0,0.0,0.0,0.0,13,54,45.800000000000004,63.89999999999999,5.0,0.28,1.33,1.44,-1,-1,-1
28,82,Antoine Semenyo,3,1100,1055,4,15,1,17,NULL,11,41,56.4,54.4,77.0,1.15,68,230,294.8,232.70000000000005,433.0,3.84,1.33,1.44,-1,-1,-1
28,83,Marcos Senesi,3,1100,1145,2,15,1,17,NULL,2,13,20.6,10.799999999999999,0.0,0.5399999999999998,69,329,519.0000000000001,194.6,93.0,-28.04,1.33,1.44,-1,-1,-1
28,84,Adam Smith,3,1100,1145,2,15,1,17,NULL,7,38,34.0,24.8,12.0,-1.9399999999999995,45,217,214.0,138.2,12.0,-16.59,1.33,1.44,-1,-1,-1
28,85,Dominic Solanke,3,1100,1055,4,15,1,17,NULL,4,-3,24.999999999999996,66.6,106.0,1.66,130,404,668.4000000000001,300.70000000000005,1024.0,16.28,1.33,1.44,-1,-1,-1
28,86,Marcus Tavernier,3,1100,1055,3,15,1,17,NULL,6,14,37.199999999999996,76.1,41.0,0.9199999999999999,73,264,379.80000000000007,511.79999999999995,375.0,6.839999999999999,1.33,1.44,-1,-1,-1
28,87,Hamed Traorè,3,1100,1055,3,15,1,17,NULL,0,0,0.0,0.0,0.0,0.0,3,10,12.8,14.799999999999999,30.0,0.18,1.33,1.44,-1,-1,-1
28,88,Mark Travers,3,1100,1145,1,15,1,17,NULL,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,1.33,1.44,-1,-1,-1
