gameweek,player_id,player_name,team_id,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,position_id,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xg,recent_xa,recent_xgi,recent_xgc,season_points,season_bps,season_influence,season_creativity,season_threat,season_xg,season_xa,season_xgi,season_xgc,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
28,518,Japhet Tanganga,18,1170,1230,1110,1150,1230,1310,2,13,2,2,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.29,-1,-1,-1
28,519,Destiny Udogie,18,1170,1230,1110,1150,1230,1310,2,13,2,2,NULL,2,8,10.2,15.7,6.0,0.07,0.04,0.11,0.29,66,312,453.99999999999994,297.49999999999994,246.0,2.29,2.0900000000000003,4.380000000000001,38.97,2.6,1.29,-1,-1,-1
28,520,Guglielmo Vicario,18,1170,1230,1110,1150,1230,1310,1,13,2,2,NULL,5,36,42.0,0.0,0.0,0.0,0.0,0.0,1.8,81,497,682.4000000000001,0.0,0.0,0.0,0.0,0.0,43.76,2.6,1.29,-1,-1,-1
28,521,Alfie Whiteman,18,1170,1230,1110,1150,1230,1310,1,13,2,2,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.29,-1,-1,-1
28,522,Nayef Aguerd,19,1100,1145,1055,1140,1150,1150,2,14,1,6,NULL,1,11,17.8,2.2,11.0,0.02,0.01,0.03,2.79,34,250,393.20000000000005,46.100000000000016,139.0,1.37,0.37000000000000005,1.7400000000000002,35.18999999999999,1.66,1.73,-1,-1,-1
28,523,Michail Antonio,19,1100,1145,1055,1140,1150,1150,4,14,1,6,NULL,2,-2,0.2,4.8,6.0,0.06,0.0,0.06,2.63,40,114,143.0,91.69999999999999,144.0,1.7999999999999998,1.1700000000000002,2.9699999999999998,19.15,1.66,1.73,-1,-1,-1
28,524,Alphonse Areola,19,1100,1145,1055,1140,1150,1150,1,14,1,6,NULL,18,86,158.6,0.0,0.0,0.0,0.0,0.0,6.640000000000001,99,475,773.2,0.0,0.0,0.0,0.0,0.0,43.68999999999999,1.66,1.73,-1,-1,-1
28,525,Saïd Benrahma,19,1100,1145,1055,1140,1150,1150,3,14,1,6,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,64,85.4,164.89999999999998,196.0,1.9100000000000001,0.7700000000000001,2.6799999999999997,12.91,1.66,1.73,-1,-1,-1
28,526,Jarrod Bowen,19,1100,1145,1055,1140,1150,1150,3,14,1,6,NULL,27,78,127.0,34.6,107.0,0.71,0.4,1.11,6.640000000000001,145,404,705.0,278.79999999999995,912.0,9.39,2.8999999999999995,12.289999999999996,48.32999999999998,1.66,1.73,-1,-1,-1
28,527,Maxwel Cornet,19,1100,1145,1055,1140,1150,1150,3,14,1,6,NULL,1,5,2.2,11.6,4.0,0.08,0.0,0.08,1.17,11,36,44.00000000000001,45.300000000000004,54.0,0.39999999999999997,0.02,0.42,2.77,1.66,1.73,-1,-1,-1
28,528,Vladimír Coufal,19,1100,1145,1055,1140,1150,1150,2,14,1,6,NULL,8,52,62.2,52.099999999999994,2.0,0.0,0.27,0.27,5.470000000000001,68,403,506.2,377.7,40.0,0.04,2.0300000000000002,2.0700000000000003,45.54999999999999,1.66,1.73,-1,-1,-1
28,529,Conor Coventry,19,1100,1145,1055,1140,1150,1150,3,14,1,6,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,1.73,-1,-1,-1
28,530,Aaron Cresswell,19,1100,1145,1055,1140,1150,1150,2,14,1,6,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,23,15.2,22.1,0.0,0.0,0.15,0.15,1.9300000000000002,1.66,1.73,-1,-1,-1
28,531,Flynn Downes,19,1100,1145,1055,1140,1150,1150,3,14,1,6,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,1.73,-1,-1,-1
28,532,Emerson Palmieri dos Santos,19,1100,1145,1055,1140,1150,1150,2,14,1,6,NULL,16,78,117.80000000000001,81.5,11.0,0.04,0.22,0.26,5.85,73,424,492.5999999999999,310.7,132.0,1.1400000000000001,1.8200000000000003,2.959999999999999,47.07999999999999,1.66,1.73,-1,-1,-1
28,533,Lukasz Fabianski,19,1100,1145,1055,1140,1150,1150,1,14,1,6,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,69,84.8,0.0,0.0,0.0,0.0,0.0,6.15,1.66,1.73,-1,-1,-1
28,534,Pablo Fornals Malla,19,1100,1145,1055,1140,1150,1150,3,14,1,6,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,68,64.20000000000002,75.5,79.0,0.31000000000000005,0.3400000000000001,0.6500000000000001,9.49,1.66,1.73,-1,-1,-1
28,535,Danny Ings,19,1100,1145,1055,1140,1150,1150,4,14,1,6,NULL,1,3,2.0,0.0,0.0,0.0,0.0,0.0,0.36,22,63,44.2,57.2,69.0,0.86,0.08,0.9400000000000001,5.6899999999999995,1.66,1.73,-1,-1,-1
28,536,Ben Johnson,19,1100,1145,1055,1140,1150,1150,2,14,1,6,NULL,3,9,2.0,0.7,0.0,0.0,0.0,0.0,1.58,12,68,53.400000000000006,16.2,21.0,0.21,0.07,0.28,10.569999999999999,1.66,1.73,-1,-1,-1
28,537,Thilo Kehrer,19,1100,1145,1055,1140,1150,1150,2,14,1,6,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7,8.599999999999998,0.7,0.0,0.0,0.0,0.0,0.47000000000000003,1.66,1.73,-1,-1,-1
28,538,Divin Mubama,19,1100,1145,1055,1140,1150,1150,4,14,1,6,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,14,0.2,2.4,5.0,0.16,0.01,0.17,2.89,1.66,1.73,-1,-1,-1
28,539,Lucas Tolentino Coelho de Lima,19,1100,1145,1055,1140,1150,1150,3,14,1,6,NULL,4,11,15.4,52.900000000000006,22.0,0.33999999999999997,0.72,1.06,2.85,67,271,363.0,472.6,191.0,3.17,3.54,6.71,29.769999999999996,1.66,1.73,-1,-1,-1
28,540,Declan Rice,1,1350,1365,1370,1370,1330,1360,3,17,1,4,NULL,17,71,90.19999999999999,90.4,69.0,0.54,0.8300000000000001,1.37,0.4,112,544,689.4,488.29999999999995,257.0,2.2,3.28,5.4799999999999995,17.699999999999996,1.2,1.4,-1,-1,-1
28,541,Gianluca Scamacca,19,1100,1145,1055,1140,1150,1150,4,14,1,6,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,1.73,-1,-1,-1
28,542,Tomáš Souček,19,1100,1145,1055,1140,1150,1150,3,14,1,6,NULL,10,47,90.39999999999999,13.400000000000002,33.0,0.53,0.04,0.57,4.62,89,331,530.1999999999999,126.49999999999997,385.0,5.400000000000001,0.6100000000000001,6.009999999999999,43.32999999999999,1.66,1.73,-1,-1,-1
28,543,Nikola Vlašić,19,1100,1145,1055,1140,1150,1150,3,14,1,6,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,1.73,-1,-1,-1
28,544,Kurt Zouma,19,1100,1145,1055,1140,1150,1150,2,14,1,6,NULL,10,39,91.19999999999999,1.2999999999999998,42.0,0.32999999999999996,0.0,0.32999999999999996,6.28,57,315,436.80000000000007,31.4,178.0,1.6,0.02,1.62,40.36999999999999,1.66,1.73,-1,-1,-1
28,545,Rayan Aït-Nouri,20,1100,1100,1085,1105,1115,1100,2,15,1,10,NULL,14,52,50.6,60.8,13.0,0.08,0.47000000000000003,0.55,4.38,47,251,279.4,280.3,110.0,1.55,1.4500000000000002,3.0000000000000004,28.27,2.45,1.8,-1,-1,-1
28,546,Daniel Bentley,20,1100,1100,1085,1105,1115,1100,1,15,1,10,NULL,1,5,8.8,0.0,0.0,0.0,0.0,0.0,0.77,17,65,66.2,0.0,0.0,0.0,0.0,0.0,5.09,2.45,1.8,-1,-1,-1
28,547,Bendegúz Bolla,20,1100,1100,1085,1105,1115,1100,2,15,1,10,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,1.8,-1,-1,-1
28,548,Hugo Bueno López,20,1100,1100,1085,1105,1115,1100,2,15,1,10,NULL,1,4,6.0,5.7,0.0,0.0,0.01,0.01,0.42,21,84,89.99999999999999,80.10000000000001,25.0,0.29000000000000004,0.28,0.5700000000000001,6.93,2.45,1.8,-1,-1,-1
28,549,Francisco Jorge Tomás Oliveira,20,1100,1100,1085,1105,1115,1100,3,15,1,10,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,1.8,-1,-1,-1
28,550,Luke Cundle,20,1100,1100,1085,1105,1115,1100,3,15,1,10,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,1.8,-1,-1,-1
28,551,Craig Dawson,20,1100,1100,1085,1105,1115,1100,2,15,1,10,NULL,10,63,97.8,21.7,6.0,0.03,0.02,0.05,4.48,69,421,611.8,108.60000000000001,222.0,1.58,0.42000000000000004,2.0,38.46999999999999,2.45,1.8,-1,-1,-1
28,552,Fábio Silva,20,1100,1100,1085,1105,1115,1100,4,15,1,10,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,25.2,51.6,93.0,1.12,0.09000000000000001,1.2100000000000002,7.199999999999999,2.45,1.8,-1,-1,-1
