player_name,opposition_name,fpl_points,predicted_high_scorer
Emiliano Martínez Romero,Nott'm Forest,1,0.040699553
André Onana,Fulham,2,0.040692702
Callum Hudson-Odoi,Aston Villa,2,0.037719067
James Trafford,Crystal Palace,2,0.03607721
Jayden Bogle,Wolves,2,0.035884928
Adam Smith,Man City,2,0.035365008
Tyrick Mitchell,Burnley,5,0.035233013
Lorenz Assignon,Crystal Palace,1,0.03369666
Kristoffer Ajer,West Ham,0,0.033677522
Harrison Reed,Man Utd,3,0.030546974
Sam Johnstone,Burnley,6,0.030538762
Neco Williams,Aston Villa,0,0.030371007
Dara O'Shea,Crystal Palace,1,0.029946579
Chris Richards,Burnley,14,0.02869918
Raphaël Varane,Fulham,1,0.028690763
Mark Flekken,West Ham,0,0.028506638
Konstantinos Mavropanos,Brentford,1,0.028133985
Vini de Souza Costa,Wolves,2,0.02794592
Norberto Murara Neto,Man City,3,0.025374396
Ederson Santana de Moraes,Bournemouth,9,0.024419604
Anel Ahmedhodžić,Wolves,1,0.023539713
Illia Zabarnyi,Man City,2,0.02209057
Jordan Pickford,Brighton,4,0.022006089
Moussa Niakhaté,Aston Villa,6,0.02085847
Loris Karius,Arsenal,1,0.020376071
Milos Kerkez,Man City,2,0.018660594
Matz Sels,Aston Villa,0,0.016866896
Tosin Adarabioyo,Man Utd,1,0.015874403
Alexander Isak,Arsenal,2,0.015728552
Bernd Leno,Man Utd,3,0.012664444
Sven Botman,Arsenal,-2,0.010711752
Adam Wharton,Burnley,2,0.01063279
Danilo dos Santos de Oliveira,Aston Villa,2,0.010612873
Ivo Grbic,Wolves,2,0.010097925
Maxime Esteve,Crystal Palace,0,0.008792356
Daniel Muñoz,Burnley,7,0.006888875
Jack Robinson,Wolves,2,0.0067077666
Rhian Brewster,Wolves,2,0.002963336
Yasser Larouci,Wolves,2,0.0023638166
