gameweek,player_id,team_id,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,position_id,kickoff_time,home_or_away_id,opposition_id,recent_points,recent_minutes,win_odds,>2.5,fpl_points,over_four_fpl_points
6,261,9,1095,1100,1110,1140,1080,1110,3,16,2,4,6,270,4.2,1.95,2,0
6,262,9,1095,1100,1110,1140,1080,1110,2,16,2,4,7,270,4.2,1.95,0,0
6,263,9,1095,1100,1110,1140,1080,1110,1,16,2,4,3,270,4.2,1.95,2,0
6,264,9,1095,1100,1110,1140,1080,1110,4,16,2,4,0,0,4.2,1.95,0,0
6,265,9,1095,1100,1110,1140,1080,1110,2,16,2,4,3,270,4.2,1.95,14,1
6,266,9,1095,1100,1110,1140,1080,1110,1,16,2,4,0,0,4.2,1.95,0,0
6,267,10,1095,1100,1050,1110,1060,1140,3,14,2,8,11,219,4.2,2.0,3,0
6,268,10,1095,1100,1050,1110,1060,1140,3,14,2,8,2,42,4.2,2.0,0,0
6,269,10,1095,1100,1050,1110,1060,1140,3,14,2,8,0,0,4.2,2.0,0,0
6,270,10,1095,1100,1050,1110,1060,1140,3,14,2,8,8,227,4.2,2.0,3,0
6,271,10,1095,1100,1050,1110,1060,1140,2,14,2,8,1,270,4.2,2.0,6,1
6,272,10,1095,1100,1050,1110,1060,1140,3,14,2,8,0,0,4.2,2.0,0,0
6,273,10,1095,1100,1050,1110,1060,1140,3,14,2,8,0,0,4.2,2.0,0,0
6,274,10,1095,1100,1050,1110,1060,1140,2,14,2,8,0,0,4.2,2.0,0,0
6,275,10,1095,1100,1050,1110,1060,1140,1,14,2,8,7,270,4.2,2.0,10,1
6,276,10,1095,1100,1050,1110,1060,1140,3,14,2,8,3,160,4.2,2.0,0,0
6,277,10,1095,1100,1050,1110,1060,1140,2,14,2,8,0,0,4.2,2.0,0,0
6,278,10,1095,1100,1050,1110,1060,1140,4,14,2,8,0,0,4.2,2.0,0,0
6,279,10,1095,1100,1050,1110,1060,1140,4,14,2,8,2,13,4.2,2.0,0,0
6,280,10,1095,1100,1050,1110,1060,1140,3,14,2,8,10,113,4.2,2.0,2,0
6,281,10,1095,1100,1050,1110,1060,1140,2,14,2,8,5,153,4.2,2.0,5,1
6,282,10,1095,1100,1050,1110,1060,1140,3,14,2,8,7,176,4.2,2.0,3,0
6,283,10,1095,1100,1050,1110,1060,1140,2,14,2,8,1,270,4.2,2.0,7,1
6,284,10,1095,1100,1050,1110,1060,1140,1,14,2,8,-1,0,4.2,2.0,0,0
6,285,10,1095,1100,1050,1110,1060,1140,2,14,2,8,1,247,4.2,2.0,0,0
6,286,10,1095,1100,1050,1110,1060,1140,2,14,2,8,1,1,4.2,2.0,0,0
6,287,10,1095,1100,1050,1110,1060,1140,4,14,2,8,0,0,4.2,2.0,1,0
6,288,10,1095,1100,1050,1110,1060,1140,3,14,2,8,6,240,4.2,2.0,1,0
6,289,11,1220,1355,1200,1340,1240,1370,1,13,1,19,0,0,1.4,1.4,0,0
6,290,11,1220,1355,1200,1340,1240,1370,2,13,1,19,15,236,1.4,1.4,0,0
6,291,11,1220,1355,1200,1340,1240,1370,1,13,1,19,15,270,1.4,1.4,3,0
6,292,11,1220,1355,1200,1340,1240,1370,3,13,1,19,0,0,1.4,1.4,0,0
6,293,11,1220,1355,1200,1340,1240,1370,4,13,1,19,20,81,1.4,1.4,6,1
6,294,11,1220,1355,1200,1340,1240,1370,3,13,1,19,17,132,1.4,1.4,6,1
6,295,11,1220,1355,1200,1340,1240,1370,3,13,1,19,3,72,1.4,1.4,0,0
6,296,11,1220,1355,1200,1340,1240,1370,3,13,1,19,0,0,1.4,1.4,0,0
6,297,11,1220,1355,1200,1340,1240,1370,4,13,1,19,4,144,1.4,1.4,1,0
6,298,11,1220,1355,1200,1340,1240,1370,2,13,1,19,8,161,1.4,1.4,2,0
6,299,11,1220,1355,1200,1340,1240,1370,3,13,1,19,0,0,1.4,1.4,0,0
6,300,11,1220,1355,1200,1340,1240,1370,3,13,1,19,3,63,1.4,1.4,2,0
6,301,11,1220,1355,1200,1340,1240,1370,1,13,1,19,0,0,1.4,1.4,0,0
6,302,11,1220,1355,1200,1340,1240,1370,2,13,1,19,2,90,1.4,1.4,0,0
6,303,11,1220,1355,1200,1340,1240,1370,3,13,1,19,11,181,1.4,1.4,2,0
6,304,11,1220,1355,1200,1340,1240,1370,3,13,1,19,3,219,1.4,1.4,6,1
6,305,11,1220,1355,1200,1340,1240,1370,2,13,1,19,8,166,1.4,1.4,2,0
6,306,11,1220,1355,1200,1340,1240,1370,2,13,1,19,0,0,1.4,1.4,0,0
6,307,11,1220,1355,1200,1340,1240,1370,2,13,1,19,10,270,1.4,1.4,2,0
6,308,11,1220,1355,1200,1340,1240,1370,3,13,1,19,18,265,1.4,1.4,10,1
6,309,11,1220,1355,1200,1340,1240,1370,3,13,1,19,17,270,1.4,1.4,2,0
6,310,11,1220,1355,1200,1340,1240,1370,3,13,1,19,0,0,1.4,1.4,0,0
6,311,11,1220,1355,1200,1340,1240,1370,2,13,1,19,1,4,1.4,1.4,0,0
6,312,11,1220,1355,1200,1340,1240,1370,2,13,1,19,0,0,1.4,1.4,0,0
6,313,11,1220,1355,1200,1340,1240,1370,2,13,1,19,0,117,1.4,1.4,7,1
6,314,12,1065,1080,1050,1080,1080,1090,4,14,1,20,4,139,3.25,2.02,1,0
6,315,12,1065,1080,1050,1080,1080,1090,2,14,1,20,9,103,3.25,2.02,0,0
6,316,12,1065,1080,1050,1080,1080,1090,2,14,1,20,2,180,3.25,2.02,2,0
6,317,12,1065,1080,1050,1080,1080,1090,3,14,1,20,0,0,3.25,2.02,0,0
6,318,12,1065,1080,1050,1080,1080,1090,2,14,1,20,2,166,3.25,2.02,2,0
6,319,12,1065,1080,1050,1080,1080,1090,3,14,1,20,0,0,3.25,2.02,0,0
6,320,12,1065,1080,1050,1080,1080,1090,3,14,1,20,0,0,3.25,2.02,0,0
6,321,12,1065,1080,1050,1080,1080,1090,2,14,1,20,3,97,3.25,2.02,3,0
6,322,12,1065,1080,1050,1080,1080,1090,3,14,1,20,0,0,3.25,2.02,0,0
6,323,12,1065,1080,1050,1080,1080,1090,1,14,1,20,0,0,3.25,2.02,0,0
6,324,12,1065,1080,1050,1080,1080,1090,4,14,1,20,0,0,3.25,2.02,0,0
6,325,12,1065,1080,1050,1080,1080,1090,3,14,1,20,0,0,3.25,2.02,0,0
6,326,12,1065,1080,1050,1080,1080,1090,4,14,1,20,7,180,3.25,2.02,9,1
6,327,12,1065,1080,1050,1080,1080,1090,4,14,1,20,0,0,3.25,2.02,0,0
6,328,12,1065,1080,1050,1080,1080,1090,4,14,1,20,2,25,3.25,2.02,2,0
6,329,12,1065,1080,1050,1080,1080,1090,3,14,1,20,0,0,3.25,2.02,0,0
6,330,12,1065,1080,1050,1080,1080,1090,2,14,1,20,0,0,3.25,2.02,0,0
6,331,12,1065,1080,1050,1080,1080,1090,4,14,1,20,0,0,3.25,2.02,0,0
6,332,12,1065,1080,1050,1080,1080,1090,3,14,1,20,0,0,3.25,2.02,0,0
6,333,12,1065,1080,1050,1080,1080,1090,2,14,1,20,0,0,3.25,2.02,0,0
6,334,12,1065,1080,1050,1080,1080,1090,3,14,1,20,0,0,3.25,2.02,0,0
6,335,12,1065,1080,1050,1080,1080,1090,1,14,1,20,0,0,3.25,2.02,0,0
6,336,12,1065,1080,1050,1080,1080,1090,4,14,1,20,0,0,3.25,2.02,0,0
6,337,12,1065,1080,1050,1080,1080,1090,3,14,1,20,0,0,3.25,2.02,0,0
6,338,12,1065,1080,1050,1080,1080,1090,1,14,1,20,0,0,3.25,2.02,0,0
6,339,12,1065,1080,1050,1080,1080,1090,3,14,1,20,0,0,3.25,2.02,0,0
6,340,12,1065,1080,1050,1080,1080,1090,4,14,1,20,1,6,3.25,2.02,1,0
6,341,13,1350,1355,1300,1340,1360,1370,2,14,1,16,9,180,1.14,1.4,5,1
6,342,13,1350,1355,1300,1340,1360,1370,2,14,1,16,10,180,1.14,1.4,1,0
6,343,13,1350,1355,1300,1340,1360,1370,4,14,1,16,23,269,1.14,1.4,1,0
6,344,13,1350,1355,1300,1340,1360,1370,3,14,1,16,2,104,1.14,1.4,0,0
6,345,13,1350,1355,1300,1340,1360,1370,3,14,1,16,1,1,1.14,1.4,0,0
6,346,13,1350,1355,1300,1340,1360,1370,2,14,1,16,0,0,1.14,1.4,0,0
6,347,13,1350,1355,1300,1340,1360,1370,1,14,1,16,0,0,1.14,1.4,0,0
6,348,13,1350,1355,1300,1340,1360,1370,3,14,1,16,0,0,1.14,1.4,0,0
6,349,13,1350,1355,1300,1340,1360,1370,3,14,1,16,0,0,1.14,1.4,0,0
6,350,13,1350,1355,1300,1340,1360,1370,2,14,1,16,11,270,1.14,1.4,6,1
6,351,20,1095,1100,1080,1140,1110,1110,3,14,2,12,0,0,2.2,2.02,1,0
6,352,13,1350,1355,1300,1340,1360,1370,1,14,1,16,11,270,1.14,1.4,6,1
6,353,13,1350,1355,1300,1340,1360,1370,3,14,1,16,18,183,1.14,1.4,11,1
6,354,13,1350,1355,1300,1340,1360,1370,3,14,1,16,10,180,1.14,1.4,0,0
6,355,13,1350,1355,1300,1340,1360,1370,4,14,1,16,26,270,1.14,1.4,6,1
6,356,13,1350,1355,1300,1340,1360,1370,3,14,1,16,7,258,1.14,1.4,0,0
6,357,13,1350,1355,1300,1340,1360,1370,2,14,1,16,0,0,1.14,1.4,0,0
6,358,13,1350,1355,1300,1340,1360,1370,2,14,1,16,1,1,1.14,1.4,0,0
6,359,13,1350,1355,1300,1340,1360,1370,3,14,1,16,0,0,1.14,1.4,0,0
6,360,17,1045,1060,1050,1050,1040,1070,3,15,1,15,0,0,7.0,1.67,2,0
6,361,13,1350,1355,1300,1340,1360,1370,1,14,1,16,0,0,1.14,1.4,0,0
6,362,7,1125,1170,1100,1180,1160,1180,3,13,1,2,1,28,1.91,1.73,1,0
6,363,13,1350,1355,1300,1340,1360,1370,3,14,1,16,0,0,1.14,1.4,0,0
6,364,19,1095,1130,1080,1140,1120,1120,3,14,0,0,1,6,NULL,NULL,1,0
6,365,13,1350,1355,1300,1340,1360,1370,3,14,1,16,14,255,1.14,1.4,-2,0
6,366,13,1350,1355,1300,1340,1360,1370,2,14,1,16,4,14,1.14,1.4,0,0
6,367,13,1350,1355,1300,1340,1360,1370,1,14,1,16,0,0,1.14,1.4,0,0
